epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.53161,0.64938,3.29309,1.0431,0,0,0,0,0,0,0,8.888e-05,8.888e-05,8.888e-05
2,466.05,0.48343,3.04984,0.94596,0,0,0,0,0,0,0,0.00018513,0.00018513,0.00018513
3,467.507,0.54895,2.76498,0.98174,0,0,0,0,0,0,0,0.000277421,0.000277421,0.000277421
4,468.9,0.57139,2.5014,0.99358,0,0,0,0,0,0,0,0.000365752,0.000365752,0.000365752
5,470.295,0.57136,2.26857,0.96674,0,0,0,0,0,0,0,0.000450124,0.000450124,0.000450124
6,471.577,0.57806,2.25948,0.96051,0,0,0,0,0,0,0,0.000530536,0.000530536,0.000530536
7,472.867,0.69348,2.08584,1.04221,0,0,0,0,0,0,0,0.000606988,0.000606988,0.000606988
8,474.225,0.60991,2.03807,0.99164,0,0,0,0,0,0,0,0.000679481,0.000679481,0.000679481
9,475.625,0.70444,1.84935,1.06895,0,0,0,0,0,0,0,0.000748014,0.000748014,0.000748014
10,477.391,0.63539,2.02479,1.03826,0,0,0,0,0,0,0,0.000812588,0.000812588,0.000812588
11,479.174,0.59158,1.86545,0.93485,0,0,0,0,0,0,0,0.000873202,0.000873202,0.000873202
12,480.733,0.5884,1.72975,0.99705,0,0,0,0,0,0,0,0.000869024,0.000869024,0.000869024
13,482.208,0.57448,1.66575,0.91608,0,0,0,0,0,0,0,0.000847026,0.000847026,0.000847026
14,483.558,0.57354,1.60277,0.99138,0,0,0,0,0,0,0,0.000825029,0.000825029,0.000825029
15,485.225,0.59916,1.59443,1.05136,0,0,0,0,0,0,0,0.000803031,0.000803031,0.000803031
16,486.949,0.52259,1.46954,0.93212,0,0,0,0,0,0,0,0.000781033,0.000781033,0.000781033
17,488.558,0.6525,1.54265,1.00891,0,0,0,0,0,0,0,0.000759035,0.000759035,0.000759035
18,490.291,0.66861,1.78703,1.04287,0,0,0,0,0,0,0,0.000737037,0.000737037,0.000737037
19,491.991,0.58854,1.53809,0.99635,0,0,0,0,0,0,0,0.00071504,0.00071504,0.00071504
20,493.771,0.54834,1.42496,0.956,0,0,0,0,0,0,0,0.000693042,0.000693042,0.000693042
21,495.083,0.5994,1.43351,0.96321,0,0,0,0,0,0,0,0.000671044,0.000671044,0.000671044
22,496.755,0.59061,1.45526,0.98811,0,0,0,0,0,0,0,0.000649046,0.000649046,0.000649046
23,497.999,0.52295,1.47019,0.96923,0,0,0,0,0,0,0,0.000627048,0.000627048,0.000627048
24,499.285,0.55197,1.33218,0.95623,0,0,0,0,0,0,0,0.000605051,0.000605051,0.000605051
25,500.563,0.55915,1.45959,0.99648,0,0,0,0,0,0,0,0.000583053,0.000583053,0.000583053
26,501.907,0.56501,1.24215,0.99456,0,0,0,0,0,0,0,0.000561055,0.000561055,0.000561055
27,503.25,0.53205,1.23657,0.96137,0,0,0,0,0,0,0,0.000539057,0.000539057,0.000539057
28,504.441,0.48665,1.27247,0.91033,0,0,0,0,0,0,0,0.000517059,0.000517059,0.000517059
29,505.648,0.51457,1.26031,0.92763,0,0,0,0,0,0,0,0.000495062,0.000495062,0.000495062
30,506.866,0.56241,1.22501,1.0023,0,0,0,0,0,0,0,0.000473064,0.000473064,0.000473064
31,508.102,0.47341,1.13483,0.94924,0,0,0,0,0,0,0,0.000451066,0.000451066,0.000451066
32,509.308,0.5068,1.1574,0.93525,0,0,0,0,0,0,0,0.000429068,0.000429068,0.000429068
33,510.508,0.51582,1.06735,0.93674,0,0,0,0,0,0,0,0.00040707,0.00040707,0.00040707
34,511.689,0.50635,1.20206,0.93139,0,0,0,0,0,0,0,0.000385073,0.000385073,0.000385073
35,513.106,0.47501,1.16727,0.92862,0,0,0,0,0,0,0,0.000363075,0.000363075,0.000363075
36,514.337,0.44466,1.09305,0.91749,0,0,0,0,0,0,0,0.000341077,0.000341077,0.000341077
37,515.515,0.41979,1.10627,0.89189,0,0,0,0,0,0,0,0.000319079,0.000319079,0.000319079
38,516.815,0.4702,1.06901,0.92357,0,0,0,0,0,0,0,0.000297081,0.000297081,0.000297081
39,517.981,0.42234,1.04562,0.91493,0,0,0,0,0,0,0,0.000275084,0.000275084,0.000275084
40,519.199,0.49554,1.18848,1.00119,0,0,0,0,0,0,0,0.000253086,0.000253086,0.000253086
41,520.336,0.3202,1.04765,0.78264,0,0,0,0,0,0,0,0.000231088,0.000231088,0.000231088
42,521.509,0.33915,1.08711,0.84398,0,0,0,0,0,0,0,0.00020909,0.00020909,0.00020909
43,522.656,0.31816,1.14317,0.81549,0,0,0,0,0,0,0,0.000187092,0.000187092,0.000187092
44,523.985,0.36469,1.1135,0.82561,0,0,0,0,0,0,0,0.000165095,0.000165095,0.000165095
45,525.227,0.35667,1.1846,0.81137,0,0,0,0,0,0,0,0.000143097,0.000143097,0.000143097
46,526.511,0.35718,1.10325,0.861,0,0,0,0,0,0,0,0.000121099,0.000121099,0.000121099
47,527.769,0.30608,1.24325,0.78842,0,0,0,0,0,0,0,9.91012e-05,9.91012e-05,9.91012e-05
48,529.197,0.28581,1.15278,0.83439,0,0,0,0,0,0,0,7.71034e-05,7.71034e-05,7.71034e-05
49,530.755,0.30974,1.14602,0.7936,0,0,0,0,0,0,0,5.51056e-05,5.51056e-05,5.51056e-05
50,532.361,0.30618,1.05634,0.80601,0.82836,0.99365,0.995,0.96541,0.24972,1.03902,0.79567,3.31078e-05,3.31078e-05,3.31078e-05
